impl_id,function,seq,op,reg_name,reg_addr,value_expr,value_num,mask,wait_on,wait_bit,loop_count,source_form,source_file,source_line,#,confidence,basis
evt-v003-iap,FLASH_ErasePage_Fast,0,set-bits,FLASH_CTLR,0x40022010,CR_PAGE_ER,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,787,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L787)
evt-v003-iap,FLASH_ErasePage_Fast,1,write,FLASH_ADDR,0x40022014,Page_Address,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,788,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L788)
evt-v003-iap,FLASH_ErasePage_Fast,2,set-bits,FLASH_CTLR,0x40022010,CR_STRT_Set,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,789,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L789)
evt-v003-iap,FLASH_ErasePage_Fast,3,wait,FLASH_STATR,0x4002200c,,,,FLASH_STATR,SR_BSY,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,790,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L790)
evt-v003-iap,FLASH_ErasePage_Fast,4,clear-bits,FLASH_CTLR,0x40022010,~CR_PAGE_ER,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,792,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L792)
evt-v003-iap,FLASH_ROM_WRITE,0,write,FLASH_KEYR,0x40022004,FLASH_KEY1,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,1026,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L1026)
evt-v003-iap,FLASH_ROM_WRITE,1,write,FLASH_KEYR,0x40022004,FLASH_KEY2,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,1027,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L1027)
evt-v003-iap,FLASH_ROM_WRITE,2,write,FLASH_MODEKEYR,0x40022024,FLASH_KEY1,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,1030,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L1030)
evt-v003-iap,FLASH_ROM_WRITE,3,write,FLASH_MODEKEYR,0x40022024,FLASH_KEY2,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,1031,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L1031)
evt-v003-iap,FLASH_ROM_WRITE,4,set-bits,FLASH_CTLR,0x40022010,CR_PAGE_PG,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,1034,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L1034)
evt-v003-iap,FLASH_ROM_WRITE,5,set-bits,FLASH_CTLR,0x40022010,CR_BUF_RST,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,1035,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L1035)
evt-v003-iap,FLASH_ROM_WRITE,6,wait,FLASH_STATR,0x4002200c,,,,FLASH_STATR,SR_BSY,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,1036,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L1036)
evt-v003-iap,FLASH_ROM_WRITE,7,loop-begin,,,size,,,,,size,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,1039,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L1039)
evt-v003-iap,FLASH_ROM_WRITE,8,write,FLASH_BUF,,*(__IO uint32_t *)(StartAddr) = *(uint32_t *)pbuf;,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,1041,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L1041)
evt-v003-iap,FLASH_ROM_WRITE,9,set-bits,FLASH_CTLR,0x40022010,CR_BUF_LOAD,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,1042,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L1042)
evt-v003-iap,FLASH_ROM_WRITE,10,wait,FLASH_STATR,0x4002200c,,,,FLASH_STATR,SR_BSY,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,1043,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L1043)
evt-v003-iap,FLASH_ROM_WRITE,11,set-bits,FLASH_CTLR,0x40022010,CR_PAGE_PG,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,1051,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L1051)
evt-v003-iap,FLASH_ROM_WRITE,12,write,FLASH_ADDR,0x40022014,adr,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,1052,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L1052)
evt-v003-iap,FLASH_ROM_WRITE,13,set-bits,FLASH_CTLR,0x40022010,CR_STRT_Set,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,1053,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L1053)
evt-v003-iap,FLASH_ROM_WRITE,14,wait,FLASH_STATR,0x4002200c,,,,FLASH_STATR,SR_BSY,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,1054,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L1054)
evt-v003-iap,FLASH_ROM_WRITE,15,clear-bits,FLASH_CTLR,0x40022010,~CR_PAGE_PG,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,1056,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L1056)
evt-v003-iap,FLASH_ROM_WRITE,16,set-bits,FLASH_CTLR,0x40022010,CR_FLOCK_Set,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,1061,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L1061)
evt-v003-iap,FLASH_ROM_WRITE,17,set-bits,FLASH_CTLR,0x40022010,CR_LOCK_Set,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,1062,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L1062)
evt-v003-iap,FLASH_ROM_ERASE,0,write,FLASH_KEYR,0x40022004,FLASH_KEY1,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,918,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L918)
evt-v003-iap,FLASH_ROM_ERASE,1,write,FLASH_KEYR,0x40022004,FLASH_KEY2,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,919,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L919)
evt-v003-iap,FLASH_ROM_ERASE,2,write,FLASH_MODEKEYR,0x40022024,FLASH_KEY1,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,922,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L922)
evt-v003-iap,FLASH_ROM_ERASE,3,write,FLASH_MODEKEYR,0x40022024,FLASH_KEY2,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,923,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L923)
evt-v003-iap,FLASH_ROM_ERASE,4,set-bits,FLASH_CTLR,0x40022010,CR_FLOCK_Set,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,983,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L983)
evt-v003-iap,FLASH_ROM_ERASE,5,set-bits,FLASH_CTLR,0x40022010,CR_LOCK_Set,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,984,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L984)
evt-v003-iap,FLASH_BufReset,0,set-bits,FLASH_CTLR,0x40022010,CR_PAGE_PG,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,744,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L744)
evt-v003-iap,FLASH_BufReset,1,set-bits,FLASH_CTLR,0x40022010,CR_BUF_RST,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,745,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L745)
evt-v003-iap,FLASH_BufReset,2,wait,FLASH_STATR,0x4002200c,,,,FLASH_STATR,SR_BSY,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,746,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L746)
evt-v003-iap,FLASH_BufReset,3,clear-bits,FLASH_CTLR,0x40022010,~CR_PAGE_PG,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,748,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L748)
evt-v003-iap,FLASH_BufLoad,0,set-bits,FLASH_CTLR,0x40022010,CR_PAGE_PG,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,765,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L765)
evt-v003-iap,FLASH_BufLoad,1,write,FLASH_BUF,,*(__IO uint32_t *)(Address) = Data0;,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,766,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L766)
evt-v003-iap,FLASH_BufLoad,2,set-bits,FLASH_CTLR,0x40022010,CR_BUF_LOAD,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,767,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L767)
evt-v003-iap,FLASH_BufLoad,3,wait,FLASH_STATR,0x4002200c,,,,FLASH_STATR,SR_BSY,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,768,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L768)
evt-v003-iap,FLASH_BufLoad,4,clear-bits,FLASH_CTLR,0x40022010,~CR_PAGE_PG,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,770,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L770)
evt-v003-iap,FLASH_Unlock,0,write,FLASH_KEYR,0x40022004,FLASH_KEY1,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,99,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L99)
evt-v003-iap,FLASH_Unlock,1,write,FLASH_KEYR,0x40022004,FLASH_KEY2,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,100,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L100)
evt-v003-iap,FLASH_Lock,0,set-bits,FLASH_CTLR,0x40022010,CR_LOCK_Set,,,,,,c-sdk,CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c,112,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Peripheral/src/ch32v00x_flash.c(L112)
evt-v00x-iap,FLASH_Unlock_Fast,0,write,FLASH_KEYR,0x40022004,FLASH_KEY1,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,630,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L630)
evt-v00x-iap,FLASH_Unlock_Fast,1,write,FLASH_KEYR,0x40022004,FLASH_KEY2,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,631,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L631)
evt-v00x-iap,FLASH_Unlock_Fast,2,write,FLASH_MODEKEYR,0x40022024,FLASH_KEY1,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,634,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L634)
evt-v00x-iap,FLASH_Unlock_Fast,3,write,FLASH_MODEKEYR,0x40022024,FLASH_KEY2,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,635,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L635)
evt-v00x-iap,FLASH_Lock_Fast,0,set-bits,FLASH_CTLR,0x40022010,CR_FLOCK_Set,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,647,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L647)
evt-v00x-iap,FLASH_ProgramPage_Fast,0,clear-bits,FLASH_CTLR,0x40022010,(CR_OPTER_Reset & CR_PAGE_ER_Reset),,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,755,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L755)
evt-v00x-iap,FLASH_ProgramPage_Fast,1,set-bits,FLASH_CTLR,0x40022010,CR_PAGE_PG,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,757,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L757)
evt-v00x-iap,FLASH_ProgramPage_Fast,2,write,FLASH_ADDR,0x40022014,Page_Address,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,758,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L758)
evt-v00x-iap,FLASH_ProgramPage_Fast,3,set-bits,FLASH_CTLR,0x40022010,CR_STRT_Set,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,759,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L759)
evt-v00x-iap,FLASH_ProgramPage_Fast,4,wait,FLASH_STATR,0x4002200c,,,,FLASH_STATR,SR_BSY,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,760,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L760)
evt-v00x-iap,FLASH_ProgramPage_Fast,5,clear-bits,FLASH_CTLR,0x40022010,~CR_PAGE_PG,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,762,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L762)
evt-v00x-iap,FLASH_ErasePage_Fast,0,clear-bits,FLASH_CTLR,0x40022010,(CR_OPTER_Reset & CR_PAGE_ER_Reset),,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,706,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L706)
evt-v00x-iap,FLASH_ErasePage_Fast,1,set-bits,FLASH_CTLR,0x40022010,CR_PAGE_ER,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,708,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L708)
evt-v00x-iap,FLASH_ErasePage_Fast,2,write,FLASH_ADDR,0x40022014,Page_Address,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,709,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L709)
evt-v00x-iap,FLASH_ErasePage_Fast,3,set-bits,FLASH_CTLR,0x40022010,CR_STRT_Set,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,710,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L710)
evt-v00x-iap,FLASH_ErasePage_Fast,4,wait,FLASH_STATR,0x4002200c,,,,FLASH_STATR,SR_BSY,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,711,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L711)
evt-v00x-iap,FLASH_ErasePage_Fast,5,clear-bits,FLASH_CTLR,0x40022010,~CR_PAGE_ER,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,713,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L713)
evt-v00x-iap,FLASH_ROM_WRITE,0,write,FLASH_KEYR,0x40022004,FLASH_KEY1,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,1028,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L1028)
evt-v00x-iap,FLASH_ROM_WRITE,1,write,FLASH_KEYR,0x40022004,FLASH_KEY2,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,1029,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L1029)
evt-v00x-iap,FLASH_ROM_WRITE,2,write,FLASH_MODEKEYR,0x40022024,FLASH_KEY1,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,1032,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L1032)
evt-v00x-iap,FLASH_ROM_WRITE,3,write,FLASH_MODEKEYR,0x40022024,FLASH_KEY2,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,1033,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L1033)
evt-v00x-iap,FLASH_ROM_WRITE,4,clear-bits,FLASH_CTLR,0x40022010,(CR_OPTER_Reset & CR_PAGE_ER_Reset),,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,1035,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L1035)
evt-v00x-iap,FLASH_ROM_WRITE,5,set-bits,FLASH_CTLR,0x40022010,CR_PAGE_PG,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,1038,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L1038)
evt-v00x-iap,FLASH_ROM_WRITE,6,set-bits,FLASH_CTLR,0x40022010,CR_BUF_RST,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,1039,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L1039)
evt-v00x-iap,FLASH_ROM_WRITE,7,wait,FLASH_STATR,0x4002200c,,,,FLASH_STATR,SR_BSY,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,1040,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L1040)
evt-v00x-iap,FLASH_ROM_WRITE,8,loop-begin,,,size,,,,,size,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,1043,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L1043)
evt-v00x-iap,FLASH_ROM_WRITE,9,write,FLASH_BUF,,*(uint32_t *)StartAddr = *(uint32_t *)pbuf;,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,1045,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L1045)
evt-v00x-iap,FLASH_ROM_WRITE,10,set-bits,FLASH_CTLR,0x40022010,CR_BUF_LOAD,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,1046,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L1046)
evt-v00x-iap,FLASH_ROM_WRITE,11,wait,FLASH_STATR,0x4002200c,,,,FLASH_STATR,SR_BSY,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,1047,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L1047)
evt-v00x-iap,FLASH_ROM_WRITE,12,write,FLASH_ADDR,0x40022014,adr,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,1054,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L1054)
evt-v00x-iap,FLASH_ROM_WRITE,13,set-bits,FLASH_CTLR,0x40022010,CR_STRT_Set,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,1055,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L1055)
evt-v00x-iap,FLASH_ROM_WRITE,14,wait,FLASH_STATR,0x4002200c,,,,FLASH_STATR,SR_BSY,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,1056,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L1056)
evt-v00x-iap,FLASH_ROM_WRITE,15,clear-bits,FLASH_CTLR,0x40022010,~CR_PAGE_PG,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,1058,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L1058)
evt-v00x-iap,FLASH_ROM_WRITE,16,set-bits,FLASH_CTLR,0x40022010,CR_FLOCK_Set,,,,,,c-sdk,CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c,1062,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Peripheral/src/ch32v00X_flash.c(L1062)
