stub_name,kind,scratchpad_offset,width_bytes,direction,meaning,source_line,#,confidence,basis
erase_block_bin,code,4,52,in,stub 本体(erase_block_bin),931,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L931)
erase_block_bin,arg,56,4,in,Base address to erase,932,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L932)
erase_block_bin,arg,60,4,in,FLASH STATR base address,933,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L933)
erase_block_bin,arg,64,4,in,(iss->sector_size | len << 16),934,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L934)
erase_block_bin,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=0, receive_data_len=0)",936,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L936)
write_block_bin_v20x_v30x,code,4,104,in,stub 本体(write_block_bin_v20x_v30x),1002,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1002)
write_block_bin,code,4,104,in,stub 本体(write_block_bin),1006,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1006)
write_block_bin_v20x_v30x,arg,108,4,in,Base address to write. @76,1008,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1008)
write_block_bin,arg,108,4,in,Base address to write. @76,1008,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1008)
write_block_bin_v20x_v30x,arg,112,4,in,FLASH STATR base address. @ 80,1009,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1009)
write_block_bin,arg,112,4,in,FLASH STATR base address. @ 80,1009,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1009)
write_block_bin_v20x_v30x,arg,116,4,in,(iss->sector_size | current_len<<16),1010,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1010)
write_block_bin,arg,116,4,in,(iss->sector_size | current_len<<16),1010,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1010)
write_block_bin_v20x_v30x,data,120,current_len,in,@84,1011,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1011)
write_block_bin,data,120,current_len,in,@84,1011,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1011)
write_block_bin_v20x_v30x,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=current_len, receive_data_len=0)",1013,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1013)
write_block_bin,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=current_len, receive_data_len=0)",1013,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1013)
ch5xx_flash_write_block_bin,code,4,388,in,stub 本体(ch5xx_flash_write_block_bin),1026,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1026)
ch5xx_flash_write_block_bin,arg,392,4,in,R32_FLASH_DATA,1027,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1027)
ch5xx_flash_write_block_bin,arg,396,4,in,Base address to write,1028,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1028)
ch5xx_flash_write_block_bin,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=0, receive_data_len=0)",1029,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1029)
ch5xx_write_safe_bin,code,4,64,in,stub 本体(ch5xx_write_safe_bin),1391,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1391)
ch5xx_write_safe_bin,arg,68,4,in,value,1392,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1392)
ch5xx_write_safe_bin,arg,72,4,in,addr,1393,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1393)
ch5xx_write_safe_bin,arg,76,4,in,"-1 - byte, 0 - 2 bytes, 1 - 4 bytes",1394,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1394)
ch5xx_write_safe_bin,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=0, receive_data_len=0)",1395,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1395)
ch5xx_flash_begin_bin,code,4,40,in,stub 本体(ch5xx_flash_begin_bin),1402,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1402)
ch5xx_flash_begin_bin,arg,44,4,in,cmd,1403,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1403)
ch5xx_flash_begin_bin,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=0, receive_data_len=0)",1404,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1404)
ch5xx_flash_out_bin,code,4,32,in,stub 本体(ch5xx_flash_out_bin),1412,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1412)
ch5xx_flash_out_bin,arg,36,4,in,addr,1413,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1413)
ch5xx_flash_out_bin,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=0, receive_data_len=0)",1414,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1414)
ch5xx_flash_end_bin,code,4,26,in,stub 本体(ch5xx_flash_end_bin),1421,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1421)
ch5xx_flash_end_bin,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=0, receive_data_len=0)",1422,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1422)
ch5xx_flash_open_bin,code,4,66,in,stub 本体(ch5xx_flash_open_bin),1436,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1436)
ch5xx_flash_open_bin,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=0, receive_data_len=0)",1437,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1437)
ch5xx_flash_addr_bin,code,4,96,in,stub 本体(ch5xx_flash_addr_bin),1445,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1445)
ch5xx_flash_addr_bin,arg,100,4,in,cmd,1446,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1446)
ch5xx_flash_addr_bin,arg,104,4,in,addr,1447,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1447)
ch5xx_flash_addr_bin,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=0, receive_data_len=0)",1449,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1449)
ch5xx_flash_wait_bin,code,4,104,in,stub 本体(ch5xx_flash_wait_bin),1458,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1458)
ch5xx_flash_wait_bin,arg,108,4,in,timer,1459,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1459)
ch5xx_flash_wait_bin,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=0, receive_data_len=0)",1460,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1460)
ch5xx_flash_erase_bin,code,4,316,in,stub 本体(ch5xx_flash_erase_bin),1488,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1488)
ch5xx_flash_erase_bin,arg,320,4,in,len,1489,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1489)
ch5xx_flash_erase_bin,arg,324,4,in,addr,1490,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1490)
ch5xx_flash_erase_bin,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=0, receive_data_len=0)",1492,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L1492)
wlink_flash_op,entry,0,,in,エントリは blob 先頭(offset 0)。probe firmware が呼ぶ,,#,verified,oss:ch32-rs/wlink/src/flash_op.rs (via ch32rv/crates/flash/src/stub.rs) + disasm:stub_disasm/wlink-*.asm
wlink_flash_op,prologue,0,,in,"`addi x2,x2,-32`(V003 版は -28 + x8/x9 退避)。**SP が有効であることが前提**",,#,verified,oss:ch32-rs/wlink/src/flash_op.rs (via ch32rv/crates/flash/src/stub.rs) + disasm:stub_disasm/wlink-*.asm
wlink_flash_op,arg-a0.bit0,a0 bit0,4,in,"**flash unlock**。立つと KEYR(0x40022004)へ 0x45670123,0xCDEF89AB、MODEKEYR(0x40022024)へ同じ 2 語",,#,verified,oss:ch32-rs/wlink/src/flash_op.rs (via ch32rv/crates/flash/src/stub.rs) + disasm:stub_disasm/wlink-*.asm
wlink_flash_op,arg-a0.bit1,a0 bit1,4,in,CTLR(0x40022010)を read-modify-write(`|= 0x4`)。消去系と見られる,,#,attested,oss:ch32-rs/wlink/src/flash_op.rs (via ch32rv/crates/flash/src/stub.rs) + disasm:stub_disasm/wlink-*.asm
wlink_flash_op,arg-a0.bit2,a0 bit2,4,in,分岐あり。意味未確定,,#,single-source,oss:ch32-rs/wlink/src/flash_op.rs (via ch32rv/crates/flash/src/stub.rs) + disasm:stub_disasm/wlink-*.asm
wlink_flash_op,arg-a0.bit3,a0 bit3,4,in,分岐あり。意味未確定,,#,single-source,oss:ch32-rs/wlink/src/flash_op.rs (via ch32rv/crates/flash/src/stub.rs) + disasm:stub_disasm/wlink-*.asm
wlink_flash_op,ret-a0,a0,4,out,"終盤で `andi a0,a0,16` → 0 か 16 を返す。**成否フラグと見られる**",,#,attested,oss:ch32-rs/wlink/src/flash_op.rs (via ch32rv/crates/flash/src/stub.rs) + disasm:stub_disasm/wlink-*.asm
wlink_flash_op,buffer,0x20001000 / 0x20002000 付近,,in/out,stub が触る RAM。probe が data EP から流したデータの置き場と見られる,,#,single-source,oss:ch32-rs/wlink/src/flash_op.rs (via ch32rv/crates/flash/src/stub.rs) + disasm:stub_disasm/wlink-*.asm
