# erase_all.sr: DMI transactions decoded from the wire (t in ms from capture start)
   59.7173 W dmcontrol    40000001 st=00
  122.2505 W data0        0000b020 st=00
  122.2821 W command      02210000 st=00
  122.8347 W data1        1ffff7e0 st=00
  122.8661 W command      02200000 st=00
  122.8951 R data0        ffff0040 st=00
  122.9287 W data1        1ffff7e8 st=00
  122.9610 W command      02200000 st=00
  122.9893 R data0        3a6dabcd st=01
  123.0227 W data1        1ffff7ec st=00
  123.0542 W command      02200000 st=00
  123.0826 R data0        a282bc48 st=00
  123.1164 W data1        1ffff7f0 st=00
  123.1483 W command      02200000 st=00
  123.1774 R data0        ffffffff st=00
  123.7155 W data1        4002101c st=00
  123.7464 W data0        00000000 st=00
  123.7777 W command      02210000 st=00
  123.8094 W data1        40022004 st=00
  123.8405 W data0        45670123 st=00
  123.8718 W command      02210000 st=00
  123.9037 W data1        40022004 st=00
  123.9355 W data0        cdef89ab st=00
  123.9675 W command      02210000 st=00
  123.9992 W data1        40022024 st=00
  124.0300 W data0        45670123 st=00
  124.0610 W command      02210000 st=00
  124.0932 W data1        40022024 st=00
  124.1250 W data0        cdef89ab st=00
  124.1569 W command      02210000 st=00
  124.1884 W data1        40022010 st=00
  124.2197 W command      02200000 st=00
  124.2478 R data0        00000000 st=00
  124.2808 W data1        40022010 st=00
  124.3122 W data0        00000004 st=00
  124.3435 W command      02210000 st=00
  124.3754 W data1        40022010 st=00
  124.4066 W command      02200000 st=00
  124.4346 R data0        00000004 st=00
  124.4676 W data1        40022010 st=00
  124.4990 W data0        00000044 st=00
  124.5301 W command      02210000 st=00
  124.5621 W data1        4002200c st=00
  124.5935 W command      02200000 st=00
  124.6224 R data0        00000001 st=00
  124.6556 W data1        4002200c st=00
  124.6866 W command      02200000 st=00
  124.7153 R data0        00000001 st=00
  124.7494 W data1        4002200c st=00
  124.7806 W command      02200000 st=00
  124.8090 R data0        00000001 st=00
  124.8417 W data1        4002200c st=00
  124.8727 W command      02200000 st=00
  124.9013 R data0        00000001 st=00
  124.9333 W data1        4002200c st=00
  124.9650 W command      02200000 st=00
  124.9933 R data0        00000001 st=00
  125.0267 W data1        4002200c st=00
  125.0582 W command      02200000 st=00
  125.0866 R data0        00000001 st=00
  125.1198 W data1        4002200c st=00
  125.1512 W command      02200000 st=00
  125.1802 R data0        00000001 st=00
  125.2119 W data1        4002200c st=00
  125.2434 W command      02200000 st=00
  125.2718 R data0        00000001 st=00
  125.3047 W data1        4002200c st=00
  125.3367 W command      02200000 st=00
  125.3656 R data0        00000001 st=00
  125.3983 W data1        4002200c st=00
  125.4300 W command      02200000 st=00
  125.4582 R data0        00000001 st=00
  125.4912 W data1        4002200c st=00
  125.5232 W command      02200000 st=00
  125.5516 R data0        00000001 st=01
  125.5842 W data1        4002200c st=00
  125.6158 W command      02200000 st=00
  125.6441 R data0        00000001 st=00
  125.6776 W data1        4002200c st=00
  125.7095 W command      02200000 st=00
  125.7382 R data0        00000001 st=00
  125.7718 W data1        4002200c st=00
  125.8035 W command      02200000 st=00
  125.8326 R data0        00000001 st=00
  125.8664 W data1        4002200c st=00
  125.8983 W command      02200000 st=00
  125.9263 R data0        00000001 st=00
  125.9588 W data1        4002200c st=00
  125.9904 W command      02200000 st=00
  126.0192 R data0        00000001 st=00
  126.0523 W data1        4002200c st=00
  126.0838 W command      02200000 st=00
  126.1117 R data0        00000001 st=00
  126.1448 W data1        4002200c st=00
  126.1766 W command      02200000 st=00
  126.2052 R data0        00000001 st=00
  126.2384 W data1        4002200c st=00
  126.2702 W command      02200000 st=00
  126.2988 R data0        00000001 st=00
  126.3323 W data1        4002200c st=00
  126.3633 W command      02200000 st=00
  126.3919 R data0        00000001 st=00
  126.4258 W data1        4002200c st=00
  126.4569 W command      02200000 st=00
  126.4858 R data0        00000001 st=00
  126.5181 W data1        4002200c st=00
  126.5490 W command      02200000 st=00
  126.5779 R data0        00000001 st=00
  126.6106 W data1        4002200c st=00
  126.6424 W command      02200000 st=00
  126.6713 R data0        00000001 st=01
  126.7045 W data1        4002200c st=00
  126.7364 W command      02200000 st=00
  126.7649 R data0        00000001 st=01
  126.7985 W data1        4002200c st=00
  126.8301 W command      02200000 st=00
  126.8591 R data0        00000001 st=00
  126.8930 W data1        4002200c st=00
  126.9245 W command      02200000 st=00
  126.9534 R data0        00000001 st=00
  126.9865 W data1        4002200c st=00
  127.0183 W command      02200000 st=00
  127.0468 R data0        00000001 st=00
  127.0799 W data1        4002200c st=00
  127.1109 W command      02200000 st=00
  127.1390 R data0        00000001 st=00
  127.1720 W data1        4002200c st=00
  127.2033 W command      02200000 st=00
  127.2323 R data0        00000001 st=00
  127.2646 W data1        4002200c st=00
  127.2962 W command      02200000 st=00
  127.3244 R data0        00000001 st=00
  127.3573 W data1        4002200c st=00
  127.3884 W command      02200000 st=00
  127.4173 R data0        00000001 st=00
  127.4499 W data1        4002200c st=00
  127.4812 W command      02200000 st=00
  127.5096 R data0        00000001 st=00
  127.5424 W data1        4002200c st=00
  127.5745 W command      02200000 st=00
  127.6028 R data0        00000001 st=00
  127.6364 W data1        4002200c st=00
  127.6681 W command      02200000 st=00
  127.6964 R data0        00000001 st=00
  127.7291 W data1        4002200c st=00
  127.7606 W command      02200000 st=00
  127.7896 R data0        00000001 st=00
  127.8225 W data1        4002200c st=00
  127.8550 W command      02200000 st=00
  127.8846 R data0        00000001 st=00
  127.9177 W data1        4002200c st=00
  127.9493 W command      02200000 st=00
  127.9776 R data0        00000001 st=00
  128.0101 W data1        4002200c st=00
  128.0419 W command      02200000 st=00
  128.0706 R data0        00000001 st=01
  128.1039 W data1        4002200c st=00
  128.1351 W command      02200000 st=00
  128.1635 R data0        00000001 st=00
  128.1966 W data1        4002200c st=00
  128.2290 W command      02200000 st=00
  128.2575 R data0        00000001 st=00
  128.2909 W data1        4002200c st=00
  128.3221 W command      02200000 st=00
  128.3512 R data0        00000001 st=00
  128.3846 W data1        4002200c st=00
  128.4168 W command      02200000 st=00
  128.4450 R data0        00000001 st=00
  128.4775 W data1        4002200c st=00
  128.5093 W command      02200000 st=00
  128.5377 R data0        00000001 st=00
  128.5705 W data1        4002200c st=00
  128.6018 W command      02200000 st=00
  128.6300 R data0        00000001 st=00
  128.6622 W data1        4002200c st=00
  128.6938 W command      02200000 st=00
  128.7227 R data0        00000001 st=00
  128.7560 W data1        4002200c st=00
  128.7875 W command      02200000 st=00
  128.8161 R data0        00000001 st=00
  128.8487 W data1        4002200c st=00
  128.8804 W command      02200000 st=00
  128.9091 R data0        00000001 st=00
  128.9427 W data1        4002200c st=00
  128.9741 W command      02200000 st=00
  129.0027 R data0        00000001 st=00
  129.0366 W data1        4002200c st=00
  129.0677 W command      02200000 st=00
  129.0963 R data0        00000001 st=00
  129.1308 W data1        4002200c st=00
  129.1619 W command      02200000 st=00
  129.1906 R data0        00000001 st=00
  129.2236 W data1        4002200c st=00
  129.2552 W command      02200000 st=00
  129.2837 R data0        00000001 st=00
  129.3166 W data1        4002200c st=00
  129.3480 W command      02200000 st=00
  129.3766 R data0        00000001 st=00
  129.4092 W data1        4002200c st=00
  129.4408 W command      02200000 st=00
  129.4697 R data0        00000001 st=01
  129.5033 W data1        4002200c st=00
  129.5355 W command      02200000 st=00
  129.5637 R data0        00000001 st=00
  129.5979 W data1        4002200c st=00
  129.6292 W command      02200000 st=00
  129.6575 R data0        00000001 st=00
  129.6903 W data1        4002200c st=00
  129.7212 W command      02200000 st=00
  129.7498 R data0        00000001 st=01
  129.7829 W data1        4002200c st=00
  129.8143 W command      02200000 st=00
  129.8418 RAW55 1100001000110000000000000000000000000000000000011100110
  129.8768 W data1        4002200c st=00
  129.9077 W command      02200000 st=00
  129.9365 R data0        00000001 st=00
  129.9695 W data1        4002200c st=00
  130.0009 W command      02200000 st=00
  130.0294 R data0        00000001 st=00
  130.0623 W data1        4002200c st=00
  130.0935 W command      02200000 st=00
  130.1217 R data0        00000001 st=00
  130.1551 W data1        4002200c st=00
  130.1863 W command      02200000 st=00
  130.2148 R data0        00000001 st=00
  130.2482 W data1        4002200c st=00
  130.2796 W command      02200000 st=00
  130.3079 R data0        00000001 st=00
  130.3397 W data1        4002200c st=00
  130.3711 W command      02200000 st=00
  130.4005 R data0        00000001 st=00
  130.4330 W data1        4002200c st=00
  130.4654 W command      02200000 st=00
  130.4941 R data0        00000001 st=00
  130.5266 W data1        4002200c st=00
  130.5583 W command      02200000 st=00
  130.5873 R data0        00000001 st=00
  130.6207 W data1        4002200c st=00
  130.6526 W command      02200000 st=00
  130.6813 R data0        00000001 st=00
  130.7138 W data1        4002200c st=00
  130.7459 W command      02200000 st=00
  130.7740 R data0        00000001 st=00
  130.8066 W data1        4002200c st=00
  130.8387 W command      02200000 st=00
  130.8675 R data0        00000001 st=00
  130.9005 W data1        4002200c st=00
  130.9321 W command      02200000 st=00
  130.9605 R data0        00000001 st=00
  130.9931 W data1        4002200c st=00
  131.0248 W command      02200000 st=00
  131.0543 R data0        00000001 st=00
  131.0872 W data1        4002200c st=00
  131.1187 W command      02200000 st=00
  131.1469 R data0        00000001 st=00
  131.1797 W data1        4002200c st=00
  131.2108 W command      02200000 st=00
  131.2393 R data0        00000001 st=00
  131.2718 W data1        4002200c st=00
  131.3035 W command      02200000 st=00
  131.3322 R data0        00000001 st=00
  131.3645 W data1        4002200c st=00
  131.3959 W command      02200000 st=00
  131.4249 R data0        00000001 st=00
  131.4585 W data1        4002200c st=00
  131.4898 W command      02200000 st=00
  131.5183 R data0        00000001 st=00
  131.5514 W data1        4002200c st=00
  131.5833 W command      02200000 st=00
  131.6124 R data0        00000001 st=00
  131.6456 W data1        4002200c st=00
  131.6768 W command      02200000 st=00
  131.7055 R data0        00000001 st=01
  131.7385 W data1        4002200c st=00
  131.7705 W command      02200000 st=00
  131.7991 R data0        00000001 st=00
  131.8331 W data1        4002200c st=00
  131.8646 W command      02200000 st=00
  131.8936 R data0        00000001 st=00
  131.9273 W data1        4002200c st=00
  131.9586 W command      02200000 st=00
  131.9871 R data0        00000001 st=00
  132.0199 W data1        4002200c st=00
  132.0518 W command      02200000 st=00
  132.0810 R data0        00000001 st=00
  132.1137 W data1        4002200c st=00
  132.1449 W command      02200000 st=00
  132.1739 R data0        00000001 st=00
  132.2069 W data1        4002200c st=00
  132.2387 W command      02200000 st=00
  132.2673 R data0        00000001 st=00
  132.2992 W data1        4002200c st=00
  132.3306 W command      02200000 st=00
  132.3590 R data0        00000001 st=00
  132.3922 W data1        4002200c st=00
  132.4240 W command      02200000 st=00
  132.4531 R data0        00000001 st=00
  132.4860 W data1        4002200c st=00
  132.5172 W command      02200000 st=00
  132.5456 R data0        00000001 st=00
  132.5785 W data1        4002200c st=00
  132.6095 W command      02200000 st=00
  132.6376 R data0        00000001 st=00
  132.6703 W data1        4002200c st=00
  132.7022 W command      02200000 st=00
  132.7309 R data0        00000001 st=00
  132.7636 W data1        4002200c st=00
  132.7952 W command      02200000 st=00
  132.8235 R data0        00000001 st=00
  132.8573 W data1        4002200c st=00
  132.8890 W command      02200000 st=00
  132.9177 R data0        00000001 st=00
  132.9517 W data1        4002200c st=00
  132.9833 W command      02200000 st=00
  133.0119 R data0        00000001 st=00
  133.0450 W data1        4002200c st=00
  133.0766 W command      02200000 st=00
  133.1053 R data0        00000001 st=00
  133.1389 W data1        4002200c st=00
  133.1700 W command      02200000 st=00
  133.1986 R data0        00000001 st=00
  133.2318 W data1        4002200c st=00
  133.2630 W command      02200000 st=00
  133.2918 R data0        00000001 st=00
  133.3246 W data1        4002200c st=00
  133.3559 W command      02200000 st=00
  133.3842 R data0        00000001 st=00
  133.4175 W data1        4002200c st=00
  133.4493 W command      02200000 st=00
  133.4779 R data0        00000001 st=00
  133.5102 W data1        4002200c st=00
  133.5421 W command      02200000 st=00
  133.5706 R data0        00000001 st=00
  133.6041 W data1        4002200c st=00
  133.6359 W command      02200000 st=00
  133.6645 R data0        00000001 st=01
  133.6976 W data1        4002200c st=00
  133.7290 W command      02200000 st=00
  133.7581 R data0        00000001 st=00
